question,answers
Công ty Can Sports Việt Nam được thành lập khi nào?,Tháng 7 năm 2011
Xưởng Trảng Bàng của công ty được thành lập khi nào?,Tháng 7 năm 2011
Khi nào công ty xuất xưởng đơn hàng đầu tiên?,Tháng 1 năm 2012
Xưởng Dương Minh Châu của công ty chính thức hoạt động khi nào?,Tháng 5 năm 2012
"Công ty đạt được chứng nhận ISO 9001, ISO 14001, OHSAS 18001 vào tháng nào năm nào?",Tháng 2 năm 2014
Công ty đạt được chứng nhận chuyền Nos đầu tiên vào tháng nào năm nào?,Tháng 7 năm 2014
Công ty nhận được bằng khen bảo vệ môi trường xuất sắc năm 2011-2015 vào tháng nào năm nào?,Tháng 3 năm 2016
Công ty được Sở Công Thương cấp giấy chứng nhận sử dụng năng lượng hiệu quả vào tháng nào năm nào?,Tháng 10 năm 2018
"Năm 2018, công ty xuất xưởng bao nhiêu đôi giày?",Hơn 10 triệu đôi giày
Công ty nhận được giải thưởng “Nike Shoe Dogs” của Nike vào tháng nào năm nào?,Tháng 11 năm 2019
Hệ thống điện năng lượng mặt trời của công ty được hoàn thành vào tháng nào năm nào?,Tháng 1 năm 2021
Can Sports Việt Nam cam kết điều gì?,"Tiếp tục phát huy dịch vụ khách hàng, chăm sóc công nhân viên và môi trường xã hội, cam kết duy trì quan niệm về chất lượng sản phẩm; thực hiện quan niệm của công ty : An toàn, hài lòng và tốc độ, đồng thời thực hiện giá trị cốt lõi của công ty: vui vẻ, phát triển và trách nhiệm."
Ba quan niệm của công ty Can Sports Việt Nam là gì?,"An toàn, hài lòng và tốc độ"
Ba giá trị cốt lõi của công ty Can Sports Việt Nam là gì?,"Vui vẻ, phát triển và trách nhiệm"
"Giải thích ý nghĩa của giá trị cốt lõi ""An toàn""?","Chú trọng sự an toàn trong công việc, cung cấp môi trường làm việc an toàn."
"Giải thích ý nghĩa của giá trị cốt lõi ""Tốc độ""?",Thỏa mãn yêu cầu của khách hàng về tốc độ giao hàng và tốc độ phục vụ.
"Giải thích ý nghĩa của giá trị cốt lõi ""Hài lòng""?","Nâng cao chất lượng sản phẩm, nâng cao sự hài lòng của khách hàng và nâng cao toàn diện về môi trường làm việc, đạt được sự hài lòng của công nhân viên."
"Giải thích ý nghĩa của giá trị cốt lõi ""Vui vẻ""?","Can Sports Việt Nam xây dựng một môi trường làm việc vui vẻ, thoải mái và hòa hợp cho tập thể công nhân viên."
"Giải thích ý nghĩa của giá trị cốt lõi ""Phát triển""?","Công ty tạo ra một lực lượng tập thể lao động vững mạnh, nơi mà mỗi con người đều có cơ hội để học hỏi, nâng cao và phát huy tối đa tiềm năng và sở trường của mình thông qua chính công việc, môi trường làm việc và các chính sách của công ty."
"Giải thích ý nghĩa của giá trị cốt lõi ""Trách nhiệm""?","Công ty xây dựng một tinh thần trách nhiệm ở mỗi công nhân viên, trách nhiệm trong công việc, trách nhiệm với gia đình và với cả cộng đồng."
Công ty Can Sports Việt Nam có tuân thủ luật lao động Việt Nam và tôn trọng công nhân viên không?,"Có, công ty luôn tuân thủ luật lao động Việt Nam, tôn trọng công nhân viên và đối xử bình đẳng với tất cả mọi người."
Công ty có sử dụng lao động dưới 16 tuổi không?,"Không, công ty không sử dụng lao động dưới 16 tuổi."
Tiêu chí tuyển dụng của công ty là gì?,"Không dựa vào đặc điểm riêng biệt, tín ngưỡng hoặc giới tính.<br> Dựa vào năng lực của người lao động.<br> Tuân thủ theo luật lao động Việt Nam và luật lao động liên quan của tỉnh Tây Ninh."
Quyền lợi của người lao động tại công ty là gì?,"Mức lương phù hợp với quy định về tiền lương tối thiểu vùng của Nhà nước.<br> Phụ cấp hợp lý cho từng trường hợp cụ thể.<br> Môi trường làm việc an toàn vệ sinh.<br> Được hưởng quyền lợi tốt nhất và luôn được tôn trọng.<br> Không bị xử phạt về thể chất, quấy rối tình dục, sách nhiễu hoặc gây tổn hại tâm lý hoặc bằng lời nói."
Mức lương thử việc của công nhân viên như thế nào?,Không thấp hơn 85% mức lương chính thức của công việc đó.
"Sau thời gian thử việc, công ty ký hợp đồng lao động như thế nào?","Sau thời gian thử việc, nếu đạt yêu cầu, công nhân viên sẽ được ký hợp đồng lao động 1 năm.<br> Sau một năm làm việc, nếu được đánh giá cao, công nhân viên sẽ được tái ký hợp đồng 1 năm.<br> Sau khi ký 2 lần hợp đồng lao động 1 năm, công nhân viên sẽ được ký hợp đồng lao động không xác định thời hạn."
"Trong trường hợp công ty không muốn tái ký hợp đồng với công nhân viên, công ty sẽ làm gì?",Công ty sẽ thông báo bằng văn bản cho công nhân viên trước thời hạn kết thúc hợp đồng lao động.<br> Lý do không tái ký hợp đồng phải được nêu rõ trong văn bản.
Thời gian làm việc của công nhân viên như thế nào?,"Mỗi ngày làm việc 8 tiếng, mỗi tuần 6 ngày.<br> Thời gian nghỉ trưa 1 tiếng.<br> Ngày nghỉ hàng tuần là ngày chủ nhật.<br> Riêng đối với người lao động làm việc theo ca, mỗi tuần người lao động được nghỉ ít nhất 24 giờ liên tục, mỗi tháng bình quân người lao động được nghỉ ít nhất 4 ngày."
Quy định về đi trễ/về sớm của công ty như thế nào?,"Đi trễ/về sớm trong vòng 30 phút, khấu trừ theo tỉ lệ lương và ảnh hưởng đến tiền thưởng chuyên cần.<br> Đi trễ/về sớm từ 30 phút trở lên cần phải ký phép.<br> Nếu không ký phép, sẽ xem như nghỉ không phép."
Quy định về tăng ca của công ty như thế nào?,"Làm việc ngoài thời gian làm việc bình thường được xem như tăng ca.<br> Cần viết “Đơn xin tăng ca” trình chủ quản có thẩm quyền ký duyệt.<br> Thời gian tăng ca mỗi ngày ít nhất là 1 tiếng.<br> Thời gian tăng ca mỗi ngày không được vượt quá 4 tiếng, mỗi tuần không được vượt quá 12 tiếng, mỗi tháng không được vượt quá 40 tiếng, và mỗi năm không được vượt quá 300 tiếng."
Mức lương làm ca đêm như thế nào?,Tính theo 130% mức lương căn bản và phụ cấp lương.<br> Người lao động làm thêm giờ vào ban đêm còn được trả thêm 20% lương tính theo đơn giá tiền lương hoặc tiền lương theo công việc làm ban ngày.
Trong trường hợp nào cần phải viết đơn xin phép?,"Nếu không viết đơn xin phép thì sẽ như thế nào?<br> Cần phải viết đơn xin phép khi vì lý do nào đó không thể đi làm.<br> Nếu không viết đơn xin phép, sẽ xem như nghỉ không phép."
Một năm có bao nhiêu ngày nghỉ lễ theo quy định của nhà nước?,Kể tên các ngày nghỉ lễ theo quy định.<br> Một năm có 11 ngày nghỉ lễ theo quy định của nhà nước.<br> Các ngày nghỉ lễ bao gồm:<br> Tết Dương lịch: 1 ngày (Ngày 1 tháng 1 dương lịch).<br> Tết nguyên đán: 5 ngày (1 ngày cuối năm và 4 ngày đầu năm hoặc 02 ngày cuối năm và 03 ngày đầu năm).<br> Giỗ tổ Hùng Vương: 1 ngày (mồng 10 tháng 3 âm lịch).<br> Ngày Giải phóng: 1 ngày ( ngày 30 tháng 4 dương lịch).<br> Ngày Quốc tế lao động : 1 ngày (ngày 1 tháng 5 dương lịch).<br> Ngày Quốc Khánh: 2 ngày ( ngày 2 tháng 9 dương lịch) và 01 ngày liền kề trước hoặc sau (mỗi năm tùy theo tình hình thực tế công ty sẽ thông báo chính thức ngày nghỉ cụ thể).
Ai được hưởng nghỉ phép năm?,Công nhân viên làm việc đủ 12 tháng cho công ty được hưởng nghỉ phép năm.
Số ngày nghỉ phép năm được tính như thế nào?,"Công nhân viên làm việc trong điều kiện bình thường được nghỉ 12 ngày phép năm.<br> Công nhân viên làm công việc nặng nhọc, độc hại, nguy hiểm được nghỉ 14 ngày phép năm.<br> Công nhân viên làm việc chưa đủ 12 tháng sẽ được tính ngày phép năm theo tỷ lệ số tháng làm việc liên tiếp."
Làm thế nào để được tính 1 ngày phép năm?,"Công nhân viên mới vào công ty làm việc, nếu trong tháng số ngày thực tế làm việc và số ngày nghỉ có hưởng lương (nghỉ lễ, tết, phép năm, phép cưới, phép tang, tai nạn lao động) chiếm tỷ lệ từ 50% số ngày làm việc bình thường trong tháng theo thỏa thuận sẽ được tính 1 ngày phép năm của tháng đó.<br> Trường hợp số ngày thực tế đi làm và số ngày nghỉ có hưởng lương dưới 50% thì không được tính 1 ngày phép của tháng đó."
Nghỉ phép năm có cần xin phép trước không?,Nghỉ phép năm từ 1 đến 2 ngày phải xin phép trước 1 ngày.<br> Nghỉ phép năm từ 3 ngày trở lên phải xin phép trước ít nhất 3 ngày.
